isolate,species,genotype,temperature,rep,5dg,mgr
10tr016,F. cortaderiae,3-ADON,15,1,3.750,0.750
10tr016,F. cortaderiae,3-ADON,15,2,3.900,0.780
10tr016,F. cortaderiae,3-ADON,15,3,3.750,0.750
10tr178,F. cortaderiae,3-ADON,15,1,3.600,0.720
10tr178,F. cortaderiae,3-ADON,15,2,3.300,0.660
10tr178,F. cortaderiae,3-ADON,15,3,3.450,0.690
10tr193,F. cortaderiae,3-ADON,15,1,4.200,0.840
10tr193,F. cortaderiae,3-ADON,15,2,3.900,0.780
10tr193,F. cortaderiae,3-ADON,15,3,4.050,0.810
09tr011,F. cortaderiae,NIV,15,1,3.750,0.750
09tr011,F. cortaderiae,NIV,15,2,4.000,0.800
09tr011,F. cortaderiae,NIV,15,3,4.000,0.800
09tr143,F. cortaderiae,NIV,15,1,4.100,0.820
09tr143,F. cortaderiae,NIV,15,2,4.200,0.840
09tr143,F. cortaderiae,NIV,15,3,4.350,0.870
10tr213,F. cortaderiae,NIV,15,1,2.600,0.520
10tr213,F. cortaderiae,NIV,15,2,2.550,0.510
10tr213,F. cortaderiae,NIV,15,3,2.100,0.420
715-33,F. cortaderiae,NIV,15,1,3.200,0.640
715-33,F. cortaderiae,NIV,15,2,3.400,0.680
715-33,F. cortaderiae,NIV,15,3,3.350,0.670
09tr006,F. graminearum,15-ADON,15,1,2.550,0.510
09tr006,F. graminearum,15-ADON,15,2,2.600,0.520
09tr006,F. graminearum,15-ADON,15,3,2.600,0.520
10tr008,F. graminearum,15-ADON,15,1,3.550,0.710
10tr008,F. graminearum,15-ADON,15,2,4.050,0.810
10tr008,F. graminearum,15-ADON,15,3,4.100,0.820
10tr042,F. graminearum,15-ADON,15,1,2.350,0.470
10tr042,F. graminearum,15-ADON,15,2,2.400,0.480
10tr042,F. graminearum,15-ADON,15,3,2.150,0.430
11tr073,F. graminearum,15-ADON,15,1,3.650,0.730
11tr073,F. graminearum,15-ADON,15,2,3.650,0.730
11tr073,F. graminearum,15-ADON,15,3,3.850,0.770
715-32,F. graminearum,15-ADON,15,1,3.550,0.710
715-32,F. graminearum,15-ADON,15,2,3.350,0.670
715-32,F. graminearum,15-ADON,15,3,3.700,0.740
09tr092,F. meridionale,NIV,15,1,3.700,0.740
09tr092,F. meridionale,NIV,15,2,3.200,0.640
09tr092,F. meridionale,NIV,15,3,3.400,0.680
09tr109,F. meridionale,NIV,15,1,3.550,0.710
09tr109,F. meridionale,NIV,15,2,3.500,0.700
09tr109,F. meridionale,NIV,15,3,3.750,0.750
10tr135,F. meridionale,NIV,15,1,3.550,0.710
10tr135,F. meridionale,NIV,15,2,4.050,0.810
10tr135,F. meridionale,NIV,15,3,4.100,0.820
