cultivar,exp,dai,isolate,species,genotype,spike,spikelets,above,central,below,total,sev
BRS 194,1,4,10tr177,F. austroamericanum,3-ADON,1,16,0,1,0,1,6.25
BRS 194,1,4,10tr177,F. austroamericanum,3-ADON,2,17,0,1,0,1,5.88
BRS 194,1,4,10tr177,F. austroamericanum,3-ADON,3,15,0,1,0,1,6.67
BRS 194,1,4,10tr177,F. austroamericanum,3-ADON,4,14,0,1,0,1,7.14
BRS 194,1,4,10tr177,F. austroamericanum,3-ADON,5,17,0,1,0,1,5.88
BRS 194,1,7,10tr177,F. austroamericanum,3-ADON,1,16,0,1,0,1,6.25
BRS 194,1,7,10tr177,F. austroamericanum,3-ADON,2,17,0,1,0,1,5.88
BRS 194,1,7,10tr177,F. austroamericanum,3-ADON,3,15,0,1,0,1,6.67
BRS 194,1,7,10tr177,F. austroamericanum,3-ADON,4,14,0,1,0,1,7.14
BRS 194,1,7,10tr177,F. austroamericanum,3-ADON,5,17,0,1,1,2,11.76
BRS 194,1,11,10tr177,F. austroamericanum,3-ADON,1,16,0,1,1,2,12.5
BRS 194,1,11,10tr177,F. austroamericanum,3-ADON,2,17,1,1,2,4,23.53
BRS 194,1,11,10tr177,F. austroamericanum,3-ADON,3,15,0,1,1,2,13.33
BRS 194,1,11,10tr177,F. austroamericanum,3-ADON,4,14,0,1,0,1,7.14
BRS 194,1,11,10tr177,F. austroamericanum,3-ADON,5,17,0,1,1,2,11.76
BRS 194,1,15,10tr177,F. austroamericanum,3-ADON,1,16,1,1,2,4,25
BRS 194,1,15,10tr177,F. austroamericanum,3-ADON,2,17,2,1,2,5,29.41
BRS 194,1,15,10tr177,F. austroamericanum,3-ADON,3,15,1,1,2,4,26.67
BRS 194,1,15,10tr177,F. austroamericanum,3-ADON,4,14,1,1,0,2,14.29
BRS 194,1,15,10tr177,F. austroamericanum,3-ADON,5,17,1,1,1,3,17.65
BRS 194,1,19,10tr177,F. austroamericanum,3-ADON,1,16,2,1,2,5,31.25
BRS 194,1,19,10tr177,F. austroamericanum,3-ADON,2,17,3,1,2,6,35.29
BRS 194,1,19,10tr177,F. austroamericanum,3-ADON,3,15,1,1,2,4,26.67
BRS 194,1,19,10tr177,F. austroamericanum,3-ADON,4,14,1,1,1,3,21.43
