isolate,species,genotype,rep,spores,spores_ml,germ,germp
09tr006,F. graminearum,15-ADON,1,57,1.425,11,55
09tr006,F. graminearum,15-ADON,2,65,1.625,8,40
10tr008,F. graminearum,15-ADON,1,71,1.775,8,40
10tr008,F. graminearum,15-ADON,2,55,1.375,3,15
10tr042,F. graminearum,15-ADON,1,54,1.35,17,85
10tr042,F. graminearum,15-ADON,2,99,2.475,6,30
10tr084,F. graminearum,15-ADON,1,77,1.925,18,90
10tr084,F. graminearum,15-ADON,2,82,2.05,18,90
11tr032,F. graminearum,15-ADON,1,18,0.45,20,100
11tr032,F. graminearum,15-ADON,2,13,0.325,20,100
11tr073,F. graminearum,15-ADON,2,29,0.725,5,25
11tr073,F. graminearum,15-ADON,1,21,0.525,1,5
702-39,F. graminearum,15-ADON,2,75,1.875,2,10
702-39,F. graminearum,15-ADON,1,86,2.15,4,20
715-32,F. graminearum,15-ADON,2,78,1.95,9,45
715-32,F. graminearum,15-ADON,1,81,2.025,10,50
10tr144,F. austroamericanum,3-ADON,2,35,0.875,10,50
10tr144,F. austroamericanum,3-ADON,1,27,0.675,18,90
10tr177,F. austroamericanum,3-ADON,2,12,0.3,1,5
10tr177,F. austroamericanum,3-ADON,1,19,0.475,0,0
10tr016,F. cortaderiae,3-ADON,2,19,0.475,2,10
10tr016,F. cortaderiae,3-ADON,1,15,0.375,2,10
10tr193,F. cortaderiae,3-ADON,2,22,0.55,0,0
10tr193,F. cortaderiae,3-ADON,1,28,0.7,0,0
11tr178,F. cortaderiae,3-ADON,2,28,0.7,0,0
11tr178,F. cortaderiae,3-ADON,1,37,0.925,3,15
09tr011,F. cortaderiae,NIV,1,39,0.975,0,0
09tr011,F. cortaderiae,NIV,2,66,1.65,20,100
09tr137,F. cortaderiae,NIV,1,42,1.05,0,0
09tr137,F. cortaderiae,NIV,2,69,1.725,0,0
09tr143,F. cortaderiae,NIV,1,15,0.375,20,100
09tr143,F. cortaderiae,NIV,2,23,0.575,20,100
10tr122,F. cortaderiae,NIV,1,20,0.5,19,95
10tr122,F. cortaderiae,NIV,2,0,0,9,45
10tr175,F. cortaderiae,NIV,2,42,1.05,12,60
10tr175,F. cortaderiae,NIV,1,77,1.925,9,45
10tr213,F. cortaderiae,NIV,2,38,0.95,19,95
10tr213,F. cortaderiae,NIV,1,37,0.925,19,95
715-33,F. cortaderiae,NIV,2,15,0.375,0,0
715-33,F. cortaderiae,NIV,1,26,0.65,1,5
09tr002,F. meridionale,NIV,1,95,2.375,1,5
09tr002,F. meridionale,NIV,2,92,2.3,0,0
09tr092,F. meridionale,NIV,1,80,2,1,5
09tr092,F. meridionale,NIV,2,56,1.4,5,25
09tr109,F. meridionale,NIV,1,34,0.85,1,5
09tr109,F. meridionale,NIV,2,34,0.85,0,0
11tr082,F. meridionale,NIV,1,196,4.9,0,0
11tr082,F. meridionale,NIV,2,118,2.95,0,0
11tr087,F. meridionale,NIV,1,170,4.25,0,0
11tr087,F. meridionale,NIV,2,102,2.55,12,60
10tr135,F. meridionale,NIV,1,73,1.825,3,15
10tr135,F. meridionale,NIV,2,67,1.675,9,45
730-05,F. meridionale,NIV,1,86,2.15,0,0
730-05,F. meridionale,NIV,2,72,1.8,0,0
730-13,F. meridionale,NIV,1,69,1.725,0,0
730-13,F. meridionale,NIV,2,54,1.35,2,10
