Isolate,species,genotype,rep,substrate,grains,ppi,0,1,2,3
10tr016,F. cortaderiae,3-ADON,1,Wheat,25,4,22,3,0,0
10tr016,F. cortaderiae,3-ADON,2,Wheat,25,12,20,1,4,0
10tr144,F. cortaderiae,3-ADON,1,Wheat,25,0,25,0,0,0
10tr144,F. cortaderiae,3-ADON,2,Wheat,25,0,25,0,0,0
10tr177,F. cortaderiae,3-ADON,1,Wheat,25,5.333333333,21,4,0,0
10tr177,F. cortaderiae,3-ADON,2,Wheat,25,5.333333333,22,2,1,0
10tr178,F. cortaderiae,3-ADON,1,Wheat,25,20,18,1,4,2
10tr178,F. cortaderiae,3-ADON,2,Wheat,25,16,15,8,2,0
10tr193,F. cortaderiae,3-ADON,1,Wheat,25,2.666666667,23,2,0,0
10tr193,F. cortaderiae,3-ADON,2,Wheat,25,0,25,0,0,0
09tr137,F. cortaderiae,NIV,1,Wheat,25,5.333333333,21,4,0,0
09tr137,F. cortaderiae,NIV,2,Wheat,25,9.333333333,18,7,0,0
09tr143,F. cortaderiae,NIV,1,Wheat,25,2.666666667,23,2,0,0
09tr143,F. cortaderiae,NIV,2,Wheat,25,5.333333333,21,4,0,0
10tr122,F. cortaderiae,NIV,1,Wheat,25,10.66666667,18,6,1,0
10tr122,F. cortaderiae,NIV,2,Wheat,25,10.66666667,17,8,0,0
10tr175,F. cortaderiae,NIV,1,Wheat,25,4,22,3,0,0
10tr175,F. cortaderiae,NIV,2,Wheat,25,2.666666667,23,2,0,0
10tr213,F. cortaderiae,NIV,1,Wheat,25,1.333333333,24,1,0,0
10tr213,F. cortaderiae,NIV,2,Wheat,25,6.666666667,22,1,2,0
715-33,F. cortaderiae,NIV,1,Wheat,25,8,19,6,0,0
715-33,F. cortaderiae,NIV,2,Wheat,25,5.333333333,21,4,0,0
09tr125,F. graminearum,15-ADON,1,Wheat,25,38.66666667,8,7,8,2
09tr125,F. graminearum,15-ADON,2,Wheat,25,33.33333333,11,6,5,3
10tr008,F. graminearum,15-ADON,1,Wheat,25,38.66666667,12,0,10,3
10tr008,F. graminearum,15-ADON,2,Wheat,25,17.33333333,19,0,5,1
10tr042,F. graminearum,15-ADON,1,Wheat,25,34.66666667,9,7,8,1
10tr042,F. graminearum,15-ADON,2,Wheat,25,49.33333333,3,10,9,3
10tr084,F. graminearum,15-ADON,1,Wheat,25,40,9,3,12,1
10tr084,F. graminearum,15-ADON,2,Wheat,25,24,15,2,8,0
11tr032,F. graminearum,15-ADON,1,Wheat,25,2.666666667,24,0,1,0
11tr032,F. graminearum,15-ADON,2,Wheat,25,4,22,3,0,0
11tr073,F. graminearum,15-ADON,1,Wheat,25,25.33333333,14,4,6,1
11tr073,F. graminearum,15-ADON,2,Wheat,25,29.33333333,12,6,5,2
11tr076,F. graminearum,15-ADON,1,Wheat,25,52,6,5,8,6
11tr076,F. graminearum,15-ADON,2,Wheat,25,60,1,7,13,4
702-39,F. graminearum,15-ADON,1,Wheat,25,28,14,4,4,3
702-39,F. graminearum,15-ADON,2,Wheat,25,49.33333333,3,10,9,3
715-32,F. graminearum,15-ADON,1,Wheat,25,18.66666667,14,8,3,0
715-32,F. graminearum,15-ADON,2,Wheat,25,14.66666667,20,0,4,1
09tr002,F. meridionale,NIV,1,Wheat,25,22.66666667,16,2,6,1
09tr002,F. meridionale,NIV,2,Wheat,25,18.66666667,15,6,4,0
09tr011,F. meridionale,NIV,1,Wheat,25,17.33333333,14,9,2,0
09tr011,F. meridionale,NIV,2,Wheat,25,14.66666667,17,5,3,0
09tr092,F. meridionale,NIV,1,Wheat,25,8,20,4,1,0
09tr092,F. meridionale,NIV,2,Wheat,25,2.666666667,24,0,1,0
09tr109,F. meridionale,NIV,1,Wheat,25,32,10,8,5,2
09tr109,F. meridionale,NIV,2,Wheat,25,18.66666667,14,9,1,1
10tr135,F. meridionale,NIV,1,Wheat,25,10.66666667,22,0,1,2
10tr135,F. meridionale,NIV,2,Wheat,25,1.333333333,24,1,0,0
11tr082,F. meridionale,NIV,1,Wheat,25,14.66666667,18,3,4,0
11tr082,F. meridionale,NIV,2,Wheat,25,8,21,2,2,0
11tr087,F. meridionale,NIV,1,Wheat,25,14.66666667,15,9,1,0
11tr087,F. meridionale,NIV,2,Wheat,25,21.33333333,15,4,6,0
730-05,F. meridionale,NIV,1,Wheat,25,18.66666667,12,12,1,0
730-05,F. meridionale,NIV,2,Wheat,25,25.33333333,10,11,4,0
730-13,F. meridionale,NIV,1,Wheat,25,26.66666667,12,6,7,0
730-13,F. meridionale,NIV,2,Wheat,25,21.33333333,15,4,6,0
10tr144,F. austroamericanum,3-ADON,1,Maize,25,2.666666667,23,2,0,0
10tr144,F. austroamericanum,3-ADON,2,Maize,25,6.666666667,20,5,0,0
10tr177,F. austroamericanum,3-ADON,1,Maize,25,34.66666667,4,16,5,0
10tr177,F. austroamericanum,3-ADON,2,Maize,25,30.66666667,6,15,4,0
10tr144,F. austroamericanum,3-ADON,1,Rice,25,13.33333333,15,10,0,0
10tr144,F. austroamericanum,3-ADON,2,Rice,25,6.666666667,20,5,0,0
10tr177,F. austroamericanum,3-ADON,1,Rice,25,13.33333333,19,2,4,0
10tr177,F. austroamericanum,3-ADON,2,Rice,25,16,18,2,5,0
10tr016,F. cortaderiae,3-ADON,1,Maize,25,22.66666667,15,3,7,0
10tr016,F. cortaderiae,3-ADON,2,Maize,25,18.66666667,15,6,4,0
10tr178,F. cortaderiae,3-ADON,1,Maize,25,33.33333333,10,7,6,2
10tr178,F. cortaderiae,3-ADON,2,Maize,25,24,14,4,7,0
10tr193,F. cortaderiae,3-ADON,1,Maize,25,33.33333333,8,11,4,2
10tr193,F. cortaderiae,3-ADON,2,Maize,25,32,12,6,3,4
10tr016,F. cortaderiae,3-ADON,1,Rice,25,17.33333333,15,7,3,0
10tr016,F. cortaderiae,3-ADON,2,Rice,25,14.66666667,17,5,3,0
10tr178,F. cortaderiae,3-ADON,1,Rice,25,17.33333333,15,7,3,0
10tr178,F. cortaderiae,3-ADON,2,Rice,25,26.66666667,12,6,7,0
10tr193,F. cortaderiae,3-ADON,1,Rice,25,2.666666667,23,2,0,0
10tr193,F. cortaderiae,3-ADON,2,Rice,25,0,25,0,0,0
09tr011,F. cortaderiae,NIV,1,Maize,25,2.666666667,23,2,0,0
09tr011,F. cortaderiae,NIV,2,Maize,25,2.666666667,23,2,0,0
09tr137,F. cortaderiae,NIV,1,Maize,25,42.66666667,4,11,9,1
09tr137,F. cortaderiae,NIV,2,Maize,25,0,25,0,0,0
09tr143,F. cortaderiae,NIV,1,Maize,25,9.333333333,18,7,0,0
09tr143,F. cortaderiae,NIV,2,Maize,25,9.333333333,20,3,2,0
10tr122,F. cortaderiae,NIV,1,Maize,25,1.333333333,24,1,0,0
10tr122,F. cortaderiae,NIV,2,Maize,25,1.333333333,24,1,0,0
10tr175,F. cortaderiae,NIV,1,Maize,25,22.66666667,16,2,6,1
10tr175,F. cortaderiae,NIV,2,Maize,25,18.66666667,15,6,4,0
10tr213,F. cortaderiae,NIV,1,Maize,25,6.666666667,20,5,0,0
10tr213,F. cortaderiae,NIV,2,Maize,25,9.333333333,19,5,1,0
715-33,F. cortaderiae,NIV,1,Maize,25,4,22,3,0,0
715-33,F. cortaderiae,NIV,2,Maize,25,6.666666667,22,2,0,1
09tr011,F. cortaderiae,NIV,1,Rice,25,25.33333333,14,3,8,0
09tr011,F. cortaderiae,NIV,2,Rice,25,29.33333333,12,6,5,2
09tr137,F. cortaderiae,NIV,1,Rice,25,34.66666667,12,0,13,0
09tr137,F. cortaderiae,NIV,2,Rice,25,22.66666667,14,5,6,0
09tr143,F. cortaderiae,NIV,1,Rice,25,9.333333333,18,7,0,0
09tr143,F. cortaderiae,NIV,2,Rice,25,13.33333333,15,10,0,0
10tr122,F. cortaderiae,NIV,1,Rice,25,9.333333333,19,5,1,0
10tr122,F. cortaderiae,NIV,2,Rice,25,4,22,3,0,0
10tr175,F. cortaderiae,NIV,1,Rice,25,33.33333333,5,15,5,0
10tr175,F. cortaderiae,NIV,2,Rice,25,6.666666667,20,5,0,0
10tr213,F. cortaderiae,NIV,1,Rice,25,26.66666667,12,9,1,3
10tr213,F. cortaderiae,NIV,2,Rice,25,16,18,3,3,1
715-33,F. cortaderiae,NIV,1,Rice,25,6.666666667,20,5,0,0
715-33,F. cortaderiae,NIV,2,Rice,25,14.66666667,14,11,0,0
09tr125,F. graminearum,15-ADON,1,Maize,25,56,5,6,6,8
09tr125,F. graminearum,15-ADON,2,Maize,25,64,3,6,6,10
10tr008,F. graminearum,15-ADON,1,Maize,25,66.66666667,0,7,11,7
10tr008,F. graminearum,15-ADON,2,Maize,25,57.33333333,2,9,8,6
10tr042,F. graminearum,15-ADON,1,Maize,25,41.33333333,6,11,4,4
10tr042,F. graminearum,15-ADON,2,Maize,25,50.66666667,2,12,7,4
10tr084,F. graminearum,15-ADON,1,Maize,25,46.66666667,5,8,9,3
10tr084,F. graminearum,15-ADON,2,Maize,25,38.66666667,8,5,12,0
11tr032,F. graminearum,15-ADON,1,Maize,25,29.33333333,10,10,3,2
11tr032,F. graminearum,15-ADON,2,Maize,25,22.66666667,10,13,2,0
11tr073,F. graminearum,15-ADON,1,Maize,25,77.33333333,0,4,9,12
11tr073,F. graminearum,15-ADON,2,Maize,25,77.33333333,0,4,9,12
11tr076,F. graminearum,15-ADON,1,Maize,25,42.66666667,3,15,4,3
11tr076,F. graminearum,15-ADON,2,Maize,25,44,2,15,6,2
702-39,F. graminearum,15-ADON,1,Maize,25,81.33333333,0,1,12,12
702-39,F. graminearum,15-ADON,2,Maize,25,74.66666667,1,3,10,11
715-32,F. graminearum,15-ADON,1,Maize,25,26.66666667,14,4,5,2
715-32,F. graminearum,15-ADON,2,Maize,25,36,8,8,8,1
09tr125,F. graminearum,15-ADON,1,Rice,25,58.66666667,3,6,10,6
09tr125,F. graminearum,15-ADON,2,Rice,25,68,2,3,12,8
10tr008,F. graminearum,15-ADON,1,Rice,25,70.66666667,0,5,12,8
10tr008,F. graminearum,15-ADON,2,Rice,25,54.66666667,4,3,16,2
10tr042,F. graminearum,15-ADON,1,Rice,25,68,0,5,14,6
10tr042,F. graminearum,15-ADON,2,Rice,25,69.33333333,0,7,9,9
10tr084,F. graminearum,15-ADON,1,Rice,25,69.33333333,1,4,12,8
10tr084,F. graminearum,15-ADON,2,Rice,25,62.66666667,3,3,13,6
11tr032,F. graminearum,15-ADON,1,Rice,25,57.33333333,2,7,12,4
11tr032,F. graminearum,15-ADON,2,Rice,25,50.66666667,5,6,10,4
11tr073,F. graminearum,15-ADON,1,Rice,25,70.66666667,0,3,16,6
11tr073,F. graminearum,15-ADON,2,Rice,25,68,0,6,12,7
11tr076,F. graminearum,15-ADON,1,Rice,25,62.66666667,0,5,18,2
11tr076,F. graminearum,15-ADON,2,Rice,25,64,0,8,11,6
702-39,F. graminearum,15-ADON,1,Rice,25,69.33333333,0,5,13,7
702-39,F. graminearum,15-ADON,2,Rice,25,64,0,8,11,6
715-32,F. graminearum,15-ADON,1,Rice,25,53.33333333,5,3,14,3
715-32,F. graminearum,15-ADON,2,Rice,25,36,10,6,6,3
09tr002,F. meridionale,NIV,1,Maize,25,41.33333333,5,10,9,1
09tr002,F. meridionale,NIV,2,Maize,25,21.33333333,16,2,7,0
09tr092,F. meridionale,NIV,1,Maize,25,25.33333333,13,5,7,0
09tr092,F. meridionale,NIV,2,Maize,25,20,12,11,2,0
09tr109,F. meridionale,NIV,1,Maize,25,18.66666667,14,8,3,0
09tr109,F. meridionale,NIV,2,Maize,25,25.33333333,8,15,2,0
10tr135,F. meridionale,NIV,1,Maize,25,33.33333333,10,5,10,0
10tr135,F. meridionale,NIV,2,Maize,25,17.33333333,12,13,0,0
11tr082,F. meridionale,NIV,1,Maize,25,61.33333333,3,2,16,4
11tr082,F. meridionale,NIV,2,Maize,25,57.33333333,1,8,13,3
11tr087,F. meridionale,NIV,1,Maize,25,44,7,6,9,3
11tr087,F. meridionale,NIV,2,Maize,25,37.33333333,6,10,9,0
730-05,F. meridionale,NIV,1,Maize,25,20,15,5,5,0
730-05,F. meridionale,NIV,2,Maize,25,14.66666667,17,5,3,0
730-13,F. meridionale,NIV,1,Maize,25,41.33333333,8,4,12,1
730-13,F. meridionale,NIV,2,Maize,25,46.66666667,8,0,16,1
09tr002,F. meridionale,NIV,1,Rice,25,37.33333333,8,6,11,0
09tr002,F. meridionale,NIV,2,Rice,25,50.66666667,5,5,12,3
09tr092,F. meridionale,NIV,1,Rice,25,30.66666667,5,17,3,0
09tr092,F. meridionale,NIV,2,Rice,25,33.33333333,6,13,6,0
09tr109,F. meridionale,NIV,1,Rice,25,61.33333333,2,3,17,3
09tr109,F. meridionale,NIV,2,Rice,25,64,1,4,16,4
10tr135,F. meridionale,NIV,1,Rice,25,29.33333333,9,10,6,0
10tr135,F. meridionale,NIV,2,Rice,25,36,6,11,8,0
11tr082,F. meridionale,NIV,1,Rice,25,52,0,14,8,3
11tr082,F. meridionale,NIV,2,Rice,25,48,6,5,11,3
11tr087,F. meridionale,NIV,1,Rice,25,44,6,7,10,2
11tr087,F. meridionale,NIV,2,Rice,25,49.33333333,4,9,8,4
730-05,F. meridionale,NIV,1,Rice,25,8,19,6,0,0
730-05,F. meridionale,NIV,2,Rice,25,0,25,0,0,0
730-13,F. meridionale,NIV,1,Rice,25,36,8,9,6,2
730-13,F. meridionale,NIV,2,Rice,25,50.66666667,6,6,7,6
test,t,t,1,Maize,25,12,21,0,3,1
test,t,t,2,Maize,25,6.666666667,22,1,2,0
test,t,t,1,Rice,25,10.66666667,20,2,3,0
test,t,t,2,Rice,25,5.333333333,21,4,0,0
test,t,t,1,Wheat,25,0,25,0,0,0
test,t,t,2,Wheat,25,0,25,0,0,0
